ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D337578,北京金药典医药有限公司,C,2567.808,,,北京市朝阳区雅成三里5号楼1层102,116.521125,39.920309,False,15.190258261119848,252908,,3,342
D337588,北京康泰诚信医药有限公司第十分公司,C,1273.527,,,北京市昌平区白浮泉路26号院4号楼106-107号底商,116.245533,40.200136,False,6.294207269194951,104646,,4,343
D337589,北京保慈仁德大药房,C,9710.208,,,北京市朝阳区小红门乡鸿博家园B（二区）8号楼三单元底商,116.475818,39.826622,False,9.970111687505684,160309,,3,344
D337596,北京养生堂药店有限公司上庄药店,C,26699.187,C700533,北京养生堂药店有限公司,北京市海淀区上庄三嘉信苑15号楼1层2单元101、102,116.205577,40.126111,False,4.450661926418851,55713,,4,345
D337603,北京百济堂药品超市有限责任公司新都利康分店,C,7688.015,D070363,北京百济堂药品超市有限责任公司,北京市海淀区建材城西二里23号楼1层8号底商,116.356718,40.065251,False,12.163600308745929,198525,,3,346
D337606,北京高远百康大药房有限公司老山分店,C,4449.882,D070415,北京高远百康大药房有限公司,高远百康大药房(老山分店),116.404268,39.96225,False,28.21201324906531,469938,,1,347
D337608,北京高远百康大药房有限公司双槐树分店,C,10506.682,D070415,北京高远百康大药房有限公司,北京市海淀区阜石路甲19号院7号楼102-1号,116.259473,39.927436,False,24.424537486274836,402133,,2,348
D337618,北京金象大药房医药连锁有限责任公司金悦金象大药房,C,6376.155,W219032,北京金象大药房医药连锁有限责任公司,北京市朝阳区东坝中路38号楼地下二层B203a号,116.547948,39.951237,False,6.983929834192961,112596,,4,349
D337619,北京金象大药房医药连锁有限责任公司马家堡东路金象大药房,C,13326.691,W219032,北京金象大药房医药连锁有限责任公司,北京市丰台区马家堡东路101号院10号楼地下一层—102内B1—19,116.385414,39.844721,False,21.766886126540044,355568,,2,350
D337627,丹药堂医药(北京)有限公司,C,2661.567,,,丹药堂医药,116.453187,39.855816,False,21.97756971432338,366659,,2,351
D337649,北京养生堂药店有限公司民四元桥店,C,10481.927,C700533,北京养生堂药店有限公司,养生堂药店(民四元桥店),116.461313,39.978897,False,17.125625911305946,279754,,2,352
D337676,北京合生康医药有限责任公司,C,0,,,北京市海淀区万泉庄11号楼1层11-1-2,116.303297,39.968569,False,18.417272193283498,308842,,2,353
D337679,北京嘉事堂药业股份有限公司酒仙桥南路分店,C,11329.203,W703139,北京嘉事堂连锁药店有限责任公司,嘉事堂药业(酒仙桥南路分店),116.206882,39.980518,False,4.941015245603269,74828,,4,354
D337680,北京健百惠医药有限公司,C,5892.685,,,北京市朝阳区芍药居甲4号东侧1层1-2内11号,116.437914,39.982547,False,13.44051117807443,221210,,3,355
D337710,北京市朝阳区颐寿百姓大药房三十六店东坝店(西子大药房）,C,23223.731,C700535,叮当智慧药房(北京)有限公司,市朝阳区颐寿百姓大药房三十六店东坝店(西子大药房）,116.467346,39.989519,False,17.622710659706215,279060,,2,356
D337721,北京市朝阳区颐寿百姓大药房大药房四十五店仁中仁,C,113786.979,C700535,叮当智慧药房(北京)有限公司,市朝阳区颐寿百姓大药房大药房四十五店仁中仁,116.467346,39.989519,False,21.449925118282156,279060,,2,357
D340325,北京京西善和医药投资有限公司石门营店,C,14580.149,,,北京市门头沟区石门营新区6区7号楼底商,116.101575,39.884851,False,2.5302094674193287,32097,,4,358
D340341,北京广年堂医药有限公司,C,7264.341,,,北京市丰台区益泽路1号院1号楼101号,116.308312,39.864268,False,20.599493389814004,340288,,2,359
D344116,北京仁仁好医药有限公司,C,2129.129,,,北京市房山区良乡西潞北大街8号楼一层,116.136321,39.732284,False,8.588798015410442,142518,,4,360
D344131,北京华辰一生姚家园医药有限公司,C,4079.934,,,北京市朝阳区金盏乡金盏大街3号院东房02号,116.577014,40.002279,False,3.806770900635377,60945,,4,361
D344145,北京同维安正医药有限责任公司,C,531.221,,,北京市海淀区安宁华庭一区十三号楼101-D01,116.328111,40.045991,False,19.918210433312648,333635,,2,362
